Transaction ID,Date,Description,Category,Sub-Category,Account,Type,Amount,Counterparty,Notes,Flag
TXN-00089,2025-01-01,Sales & Service Tax - Jan 2025,Tax,SST Payment,RHB Bank,Outflow,4415.50,Lembaga Hasil Dalam Negeri (LHDN),,
TXN-00301,2025-01-01,Internet & phone - Jan 2025,Operating Expenses,Telecommunications,CIMB,Outflow,552.00,TIME dotCom,Direct debit,
TXN-00324,2025-01-01,Software licence - UPS battery replacement,CAPEX,Software & Licences,RHB Bank,Outflow,6353.50,Adobe Systems Malaysia,,
TXN-00348,2025-01-01,Client payment - invoice OR-1530,Revenue,Client Payment,CIMB,Inflow,42332.00,Maxis Berhad,,
TXN-00413,2025-01-01,SOCSO and EIS contribution - Jan 2025,Payroll,SOCSO & EIS,RHB Bank,Outflow,707.00,PERKESO,Revised amount per credit note,
TXN-00527,2025-01-01,Monthly retainer - Jan 2025,Revenue,Retainer Fee,CIMB,Inflow,5794.00,Public Bank Berhad,,
TXN-00617,2025-01-01,Term loan repayment - Jan 2025,Loan Repayment,Bank Loan,CIMB,Outflow,6639.00,Maybank Business Banking,One-off purchase,
TXN-00646,2025-01-02,EPF employer contribution - Jan 2025,Payroll,EPF Contribution,Hong Leong Bank,Outflow,3820.00,Kumpulan Wang Simpanan Pekerja (KWSP),Partial payment - balance next month,
TXN-00138,2025-01-04,Monthly retainer - Jan 2025,Revenue,Retainer Fee,CIMB,Inflow,6677.00,Hong Leong Financial Group,Revised amount per credit note,
TXN-00622,2025-01-04,Staff salary - Jan 2025,Payroll,Salary,RHB Bank,Outflow,31145.50,Payroll - Internal,One-off purchase,
TXN-00104,2025-01-05,Project milestone payment - Website Redevelopment,Revenue,Project Payment,Maybank,Inflow,54361.00,IJM Corporation Berhad,Revised amount per credit note,Large Transaction
TXN-00495,2025-01-05,Staff salary - Jan 2025,Payroll,Salary,RHB Bank,Outflow,23100.50,Payroll - Internal,Recurring monthly,
TXN-00443,2025-01-06,Term loan repayment - Jan 2025,Loan Repayment,Bank Loan,Maybank,Outflow,6070.00,CIMB Business Loan,Revised amount per credit note,
TXN-00076,2025-01-07,Client payment - invoice PO-8690,Revenue,Client Payment,CIMB,Inflow,68344.50,Maxis Berhad,Urgent payment,Large Transaction
